,Link,Address,Beds,Rent
122,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,910 W Lake St,1-2 Br,"$1,395 - $2,400"
123,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,1100 N Dearborn St,Studio - 1 Br,"$1,420 - $1,650"
124,https://web.archive.org/web/20150325120043/https://www.apartments.com/chicago-il/4/,77 W Huron St,Studio - 3 Br,"$1,605 - $3,365"
125,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,4242 N Sheridan Rd,Studio - 2 Br,"$1,250 - $2,300"
126,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,1140 N Lasalle St,Studio - 1 Br,"$1,100 - $1,600"
127,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,1340 W Morse Ave,Studio - 2 Br,"$887 - $1,398"
128,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,1111 N Dearborn Ave,Studio - 3 Br,"$1,370 - $3,350"
129,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,2300 S Michigan Ave,1-2 Br,"$1,625 - $2,775"
130,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,5650 N Sheridan Rd,Studio - 2 Br,"$995 - $2,000"
131,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,6700 S Oglesby Ave,Studio - 2 Br,"$833 - $1,520"
132,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,3130 N Lake Shore Dr,Studio - 2 Br,"$1,325 - $1,395"
133,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,175 N Harbor Dr,Studio - 3 Br,"$1,500 - $4,470"
134,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,4157 N Clarendon,Studio - 1 Br,"$975 - $1,300"
135,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,430 W Diversey Pky,Studio - 2 Br,"$1,285 - $1,350"
136,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,434 W Wellington Ave,Studio - 1 Br,"$900 - $1,235"
137,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,188 W Randolph St,Studio - 2 Br,"$1,510 - $5,620"
138,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,5050 N Sheridan Rd,1-2 Br,"$1,150 - $1,500"
139,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,3740 N Halsted St,Studio - 3 Br,"$1,607 - $4,982"
140,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,1380 E Hyde Park Blvd,1-2 Br,"$970 - $1,402"
141,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,5240 N Sheridan Rd,Studio - 2 Br,"$915 - $1,232"
142,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,7000 S Shore Dr,Studio - 4 Br,"$653 - $2,402"
143,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,5009 N Sheridan Rd,Studio - 2 Br,"$1,239 - $2,100"
144,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,4334 N Hazel St,Studio - 2 Br,"$1,205 - $2,985"
145,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,2470 N Clark St,Studio - 1 Br,"$1,492 - $1,819"
146,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,910 W Lake St,1-2 Br,"$1,580 - $2,500"
147,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,5326 S Cornell Ave,Studio - 1 Br,$806 - $995
148,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,1100 N Dearborn St,Studio - 1 Br,"$1,275 - $1,690"
149,https://web.archive.org/web/20150905070718/https://www.apartments.com/chicago-il/4/,1220 N State Pky,Studio - 1 Br,"$1,050 - $1,650"
150,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,1380 E Hyde Park Blvd,1-2 Br,"$958 - $1,597"
151,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,1730 N Clark St,Studio - 3 Br,"$1,659 - $8,465"
152,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,345 E Ohio St,Studio - 3 Br,"$1,517 - $5,080"
153,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,750 N Dearborn St,Studio - 2 Br,"$1,445 - $2,521"
154,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,1901-1907 W Wilson Ave,1-2 Br,"$1,100 - $1,600"
155,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,7427 S South Shore Dr,Studio - 2 Br,$995
156,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,65 E Scott St,Studio - 2 Br,"$1,179 - $2,195"
157,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,10 E Ontario St,Studio - 2 Br,"$1,475 - $3,000"
158,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,420 E Ohio St,Studio - 3 Br,"$1,690 - $4,560"
159,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,1935 S Wabash Ave,1-3 Br,"$1,610 - $2,805"
160,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,5100 S Cornell Ave,Studio - 2 Br,"$720 - $1,276"
161,https://web.archive.org/web/20150325123036/https://www.apartments.com/chicago-il/5/,2150 N Lincoln Park W,Studio - 2 Br,"$1,050 - $2,600"
